Season,SeasonType,Players,SeasonId,SeasonName,TeamId,TeamName
1951-52,Playoffs,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Golden State Warriors
1951-52,Regular Season,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 76496, 'Name': 'Ed Dahler'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76285, 'Name': 'Stan Brown'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Golden State Warriors
1951-52,Playoffs,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Golden State Warriors
1951-52,Regular Season,"[{'Id': 77853, 'Name': 'Andy Phillip'}, {'Id': 76496, 'Name': 'Ed Dahler'}, {'Id': 77590, 'Name': 'Ed Mikan'}, {'Id': 78115, 'Name': 'George Senesky'}, {'Id': 76764, 'Name': 'Joe Fulks'}, {'Id': 77824, 'Name': 'Mel Payton'}, {'Id': 77169, 'Name': 'Neil Johnston'}, {'Id': 76190, 'Name': 'Nelson Bobb'}, {'Id': 76056, 'Name': 'Paul Arizin'}, {'Id': 76285, 'Name': 'Stan Brown'}, {'Id': 76779, 'Name': 'Vern Gardner'}, {'Id': 76298, 'Name': 'Walter Budko'}]",1951,1951-52,1610612744,Golden State Warriors
1951-52,Playoffs,"[{'Id': 78359, 'Name': 'Bill Tosheff'}, {'Id': 77347, 'Name': 'Bob Lavoy'}, {'Id': 77743, 'Name': ""Buckshot O'Brien""}, {'Id': 77402, 'Name': 'Don Lofgran'}, {'Id': 76838, 'Name': 'Joe Graboski'}, {'Id': 76110, 'Name': 'Leo Barnhorst'}, {'Id': 78447, 'Name': 'Paul Walther'}, {'Id': 77199, 'Name': 'Wallace Jones'}]",1951,1951-52,1610610030,Indianapolis Olympians
1951-52,Regular Season,"[{'Id': 78359, 'Name': 'Bill Tosheff'}, {'Id': 77347, 'Name': 'Bob Lavoy'}, {'Id': 77743, 'Name': ""Buckshot O'Brien""}, {'Id': 76098, 'Name': 'Cliff Barker'}, {'Id': 77402, 'Name': 'Don Lofgran'}, {'Id': 76838, 'Name': 'Joe Graboski'}, {'Id': 77041, 'Name': 'Joe Holland'}, {'Id': 76110, 'Name': 'Leo Barnhorst'}, {'Id': 78447, 'Name': 'Paul Walther'}, {'Id': 77199, 'Name': 'Wallace Jones'}]",1951,1951-52,1610610030,Indianapolis Olympians
1951-52,Playoffs,"[{'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}]",1951,1951-52,1610612758,Kansas City Kings
1951-52,Regular Season,"[{'Id': 76937, 'Name': 'Alex Hannum'}, {'Id': 77132, 'Name': 'Arnie Johnson'}, {'Id': 77967, 'Name': 'Arnie Risen'}, {'Id': 76514, 'Name': 'Bob Davies'}, {'Id': 78453, 'Name': 'Bobby Wanzer'}, {'Id': 76414, 'Name': 'Jack Coleman'}, {'Id': 78225, 'Name': 'Odie Spears'}, {'Id': 77723, 'Name': 'Paul Noel'}, {'Id': 77902, 'Name': 'Ray Ragelis'}, {'Id': 77050, 'Name': 'Red Holzman'}, {'Id': 77912, 'Name': 'Sam Ranzino'}]",1951,1951-52,1610612758,Kansas City Kings
1951-52,Playoffs,"[{'Id': 76962, 'Name': 'Bob Harrison'}, {'Id': 78063, 'Name': 'Frank Saul'}, {'Id': 600012, 'Name': 'George Mikan'}, {'Id': 78091, 'Name': 'Howie Schultz'}, {'Id': 77867, 'Name': 'Jim Pollard'}, {'Id': 77090, 'Name': 'Joe Hutton'}, {'Id': 77032, 'Name': 'Lew Hitch'}, {'Id': 77480, 'Name': 'Slater Martin'}, {'Id': 77593, 'Name': 'Vern Mikkelsen'}]",1951,1951-52,1610612747,Los Angeles Lakers
1951-52,Regular Season,"[{'Id': 76962, 'Name': 'Bob Harrison'}, {'Id': 78063, 'Name': 'Frank Saul'}, {'Id': 600012, 'Name': 'George Mikan'}, {'Id': 78091, 'Name': 'Howie Schultz'}, {'Id': 77867, 'Name': 'Jim Pollard'}, {'Id': 77090, 'Name': 'Joe Hutton'}, {'Id': 77859, 'Name': 'John Pilch'}, {'Id': 77032, 'Name': 'Lew Hitch'}, {'Id': 77480, 'Name': 'Slater Martin'}, {'Id': 77593, 'Name': 'Vern Mikkelsen'}, {'Id': 78169, 'Name': 'Whitey Skoog'}]",1951,1951-52,1610612747,Los Angeles Lakers
1951-52,Regular Season,"[{'Id': 76311, 'Name': 'Art Burris'}, {'Id': 78586, 'Name': 'Bob Wilson'}, {'Id': 76394, 'Name': 'Cal Christensen'}, {'Id': 76173, 'Name': 'Charlie Black'}, {'Id': 77572, 'Name': 'Dick Mehen'}, {'Id': 76473, 'Name': 'Dillard Crocker'}, {'Id': 76214, 'Name': 'Don Boven'}, {'Id': 77778, 'Name': 'Don Otten'}, {'Id': 77933, 'Name': 'Don Rehfeldt'}, {'Id': 76141, 'Name': 'Elmer Behnke'}, {'Id': 78402, 'Name': 'Gene Vance'}, {'Id': 77783, 'Name': 'James Owens'}, {'Id': 76745, 'Name': 'Jerry Fowler'}, {'Id': 77513, 'Name': 'John McConathy'}, {'Id': 77941, 'Name': 'John Rennicke'}, {'Id': 77089, 'Name': 'Mel Hutchins'}, {'Id': 76551, 'Name': 'Nate DeLong'}, {'Id': 77278, 'Name': 'Walt Kirk'}]",1951,1951-52,1610612737,Milwaukee Hawks
1951-52,Playoffs,"[{'Id': 76962, 'Name': 'Bob Harrison'}, {'Id': 78063, 'Name': 'Frank Saul'}, {'Id': 600012, 'Name': 'George Mikan'}, {'Id': 78091, 'Name': 'Howie Schultz'}, {'Id': 77867, 'Name': 'Jim Pollard'}, {'Id': 77090, 'Name': 'Joe Hutton'}, {'Id': 77032, 'Name': 'Lew Hitch'}, {'Id': 77480, 'Name': 'Slater Martin'}, {'Id': 77593, 'Name': 'Vern Mikkelsen'}]",1951,1951-52,1610612747,Minneapolis Lakers
1951-52,Regular Season,"[{'Id': 76962, 'Name': 'Bob Harrison'}, {'Id': 78063, 'Name': 'Frank Saul'}, {'Id': 600012, 'Name': 'George Mikan'}, {'Id': 78091, 'Name': 'Howie Schultz'}, {'Id': 77867, 'Name': 'Jim Pollard'}, {'Id': 77090, 'Name': 'Joe Hutton'}, {'Id': 77859, 'Name': 'John Pilch'}, {'Id': 77032, 'Name': 'Lew Hitch'}, {'Id': 77480, 'Name': 'Slater Martin'}, {'Id': 77593, 'Name': 'Vern Mikkelsen'}, {'Id': 78169, 'Name': 'Whitey Skoog'}]",1951,1951-52,1610612747,Minneapolis Lakers
1951-52,Playoffs,"[{'Id': 77536, 'Name': 'Al McGuire'}, {'Id': 78153, 'Name': 'Connie Simmons'}, {'Id': 77537, 'Name': 'Dick McGuire'}, {'Id': 78405, 'Name': 'Ernie Vandeweghe'}, {'Id': 77218, 'Name': 'George Kaftan'}, {'Id': 76773, 'Name': 'Harry Gallatin'}, {'Id': 78638, 'Name': 'Max Zaslofsky'}, {'Id': 76404, 'Name': 'Nat Clifton'}, {'Id': 77425, 'Name': 'Ray Lumpp'}]",1951,1951-52,1610612752,New York Knicks
1951-52,Regular Season,"[{'Id': 77536, 'Name': 'Al McGuire'}, {'Id': 78153, 'Name': 'Connie Simmons'}, {'Id': 77537, 'Name': 'Dick McGuire'}, {'Id': 78405, 'Name': 'Ernie Vandeweghe'}, {'Id': 77218, 'Name': 'George Kaftan'}, {'Id': 76773, 'Name': 'Harry Gallatin'}, {'Id': 78082, 'Name': 'Herb Scherer'}, {'Id': 78638, 'Name': 'Max Zaslofsky'}, {'Id': 76404, 'Name': 'Nat Clifton'}, {'Id': 77425, 'Name': 'Ray Lumpp'}, {'Id': 76210, 'Name': 'Vince Boryla'}]",1951,1951-52,1610612752,New York Knicks
1951-52,Playoffs,"[{'Id': 76373, 'Name': 'Al Cervi'}, {'Id': 76768, 'Name': 'Billy Gabor'}, {'Id': 78076, 'Name': 'Dolph Schayes'}, {'Id': 77268, 'Name': 'George King'}, {'Id': 77913, 'Name': 'George Ratkovicz'}, {'Id': 76326, 'Name': 'Gerry Calabrese'}, {'Id': 77212, 'Name': 'Noble Jorgensen'}, {'Id': 78117, 'Name': 'Paul Seymour'}, {'Id': 77999, 'Name': 'Red Rocha'}, {'Id': 77775, 'Name': 'Wally Osterkorn'}]",1951,1951-52,1610612755,Philadelphia 76ers
1951-52,Regular Season,"[{'Id': 76373, 'Name': 'Al Cervi'}, {'Id': 76768, 'Name': 'Billy Gabor'}, {'Id': 78076, 'Name': 'Dolph Schayes'}, {'Id': 78066, 'Name': 'Don Savage'}, {'Id': 77268, 'Name': 'George King'}, {'Id': 77913, 'Name': 'George Ratkovicz'}, {'Id': 76326, 'Name': 'Gerry Calabrese'}, {'Id': 77212, 'Name': 'Noble Jorgensen'}, {'Id': 78117, 'Name': 'Paul Seymour'}, {'Id': 77999, 'Name': 'Red Rocha'}, {'Id': 77775, 'Name': 'Wally Osterkorn'}]",1951,1951-52,1610612755,Philadelphia 76ers
1951-52,Playoffs,"[{'Id': 76373, 'Name': 'Al Cervi'}, {'Id': 76768, 'Name': 'Billy Gabor'}, {'Id': 78076, 'Name': 'Dolph Schayes'}, {'Id': 77268, 'Name': 'George King'}, {'Id': 77913, 'Name': 'George Ratkovicz'}, {'Id': 76326, 'Name': 'Gerry Calabrese'}, {'Id': 77212, 'Name': 'Noble Jorgensen'}, {'Id': 78117, 'Name': 'Paul Seymour'}, {'Id': 77999, 'Name': 'Red Rocha'}, {'Id': 77775, 'Name': 'Wally Osterkorn'}]",1951,1951-52,1610612755,Philadelphia 76ers
1951-52,Regular Season,"[{'Id': 76373, 'Name': 'Al Cervi'}, {'Id': 76768, 'Name': 'Billy Gabor'}, {'Id': 78076, 'Name': 'Dolph Schayes'}, {'Id': 78066, 'Name': 'Don Savage'}, {'Id': 77268, 'Name': 'George King'}, {'Id': 77913, 'Name': 'George Ratkovicz'}, {'Id': 76326, 'Name': 'Gerry Calabrese'}, {'Id': 77212, 'Name': 'Noble Jorgensen'}, {'Id': 78117, 'Name': 'Paul Seymour'}, {'Id': 77999, 'Name': 'Red Rocha'}, {'Id': 77775, 'Name': 'Wally Osterkorn'}]",1951,1951-52,1610612755,Philadelphia 76ers
